"","avg_1","avg_2","avg_3","med_1","med_2","med_3","var_1","var_2","var_3"
"1",586.076923076923,170.21875,101.668269230769,302,82.5,49,540077.849490269,44249.2749246988,16705.8655931418
"2",662.4375,198.338942307692,113.069711538462,314,97.5,54.5,592827.278012048,56468.4173714087,19535.1734418443
"3",610.355769230769,174.048076923077,103.125,352,100,53.5,409010.991195551,33872.2627432808,12448.9819277108
"4",634.709134615385,179.6875,106.59375,331,102,55,484176.852542864,37313.9695783133,14759.3646837349
"5",595.793269230769,176.084134615385,100.403846153846,266.5,73.5,48.5,706839.614990732,57142.2796512975,19575.6774791474
"6",592.319711538462,172.673076923077,100.024038461538,253.5,71,47.5,742282.854164736,68768.302502317,21538.8235171455
"7",607.875,176.622596153846,102.307692307692,312,85,46.5,593586.119277108,53908.31264481,17147.7797961075
"8",641.495192307692,188.634615384615,115.444711538462,329.5,85.5,49.5,590920.293952734,54129.0999073216,22794.965610519
"9",611.850961538462,183.872596153846,109.134615384615,298.5,88,54,501274.618697868,48401.9668616775,16684.405931418
"10",611.71875,185.552884615385,105.682692307692,331.5,98.5,55,428925.580948795,45439.7803290083,12873.5520852641
"11",610.826923076923,160.5625,95.3028846153846,314.5,87.5,52,419829.883225208,29106.1695783133,10340.7562326228
"12",546.6875,158.430288461538,92.5240384615385,232.5,69.5,41,499043.285240964,46752.8866948564,14693.690987025
"13",631.548076923077,187.257211538462,103.877403846154,383,105,62,449671.033827618,41184.1144056997,11749.4620424004
"14",609.634615384615,178.586538461538,104.625,306,88.5,53,530825.393883225,46224.07442076,15401.7722891566
"15",591.254807692308,164.971153846154,102.072115384615,343,94.5,56.5,385921.703591288,31052.1389249305,12101.7056302132
"16",565.473557692308,169.043269230769,98.1802884615385,297,87,53.5,461552.837853336,39905.3137859129,13033.4348876274
"17",587.257211538462,169.709134615385,100.612980769231,360.5,95.5,57,354635.49753823,30056.3079645505,10827.5052768767
"18",590.259615384615,171.723557692308,102.108173076923,336.5,90,52,388902.221594069,34638.383636469,12895.822005329
"19",649.685096153846,184.675480769231,106.831730769231,384,102.5,57.5,437456.601801437,35078.7691322984,11509.9234244671
"20",570.901442307692,171.264423076923,102.370192307692,296,89,47,513674.34929912,54937.9395505097,19448.093952734
"21",629.872596153846,164.771634615385,99.7451923076923,307.5,87,52,634311.533126738,41074.0513380445,14602.980699722
"22",578.057692307692,158.430288461538,99.3028846153846,304,81.5,53,374102.926784059,29955.7348876274,11924.2935820204
"23",647.199519230769,193.579326923077,105.252403846154,282,74,44.5,906245.68298772,90291.2515234013,25035.3939701112
"24",594.387019230769,169.480769230769,101.192307692308,327,99,61,497845.505276877,40932.3803521779,12679.6978683967
"25",607.411057692308,171.40625,98.9591346153846,322,89.5,51.5,472289.302913577,37351.3839608434,13768.9260368397
"26",644.901442307692,175.925480769231,102.069711538462,344,94,56,567131.351708758,36963.606481696,13671.0770563021
"27",569.930288461538,158.865384615385,94.1514423076923,304.5,92.5,51.5,380478.744526182,27598.0782205746,9250.24929911956
"28",653.899038461538,185.526442307692,107.644230769231,270,77,47,1052248.20664968,81732.7655641798,22495.2851714551
"29",624.079326923077,182.036057692308,105.334134615385,401,106,64,367209.099716172,32463.8372509268,11361.3507356348
"30",560.081730769231,165.721153846154,98.0240384615385,282.5,76,49.5,505374.321014829,49391.3967562558,15190.6066496756
"31",615.081730769231,180.353365384615,104.384615384615,327,93.5,53,462650.446316033,40689.1495308156,13104.6902687674
"32",593.175480769231,166.163461538462,97.2644230769231,281.5,87,51,439042.024553985,38858.1611677479,12005.419068582
"33",577.579326923077,164.983173076923,94.3990384615385,323,86,52,388865.593692076,32993.7563426784,10383.1849629286
"34",610.637019230769,175.855769230769,103.072115384615,344.5,96,56.5,379818.51612025,33410.0466172382,11143.6574374421
"35",704.709134615385,220.009615384615,123.127403846154,355,94.5,57,712642.240494671,77299.0794253939,22743.590958063
"36",600.545673076923,164.78125,100.478365384615,331.5,91,56,388783.405137859,30673.7809487952,11310.5633862373
"37",577.067307692308,166.021634615385,97.0264423076923,330,92,61,355420.034012975,29683.1151934662,9437.29327502317
"38",600.295673076923,172.257211538462,98.0889423076923,331,93.5,57.5,369685.408752317,32479.3385020853,9910.8233955051
"39",577.197115384615,166.692307692308,98.0216346153846,299,84,52,387084.655027803,33878.2810009268,10583.5682055144
"40",661.466346153846,178.721153846154,112.930288461538,331,95,60,660540.996455051,46879.2232622799,20253.6891044949
"41",597.237980769231,179.831730769231,102.730769230769,324.5,99,55,380410.157686515,35362.1210148285,11535.9080630213
"42",537.216346153846,154.9375,90.8966346153846,266.5,85,47,339806.974768304,25847.4756024096,9360.62302479147
"43",613.526442307692,173.766826923077,106.564903846154,347,91.5,60,401744.18243165,31773.8274270158,12808.1355363763
"44",611.622596153846,170.050480769231,104.766826923077,321,96.5,57.5,490755.715054449,35112.8914214551,14087.928631835
"45",634.572115384615,173.617788461538,103.603365384615,309.5,92.5,52.5,618483.122497683,44348.0680201576,16881.1748320204
"46",615.033653846154,176.795673076923,102.605769230769,280,79.5,48.5,723338.254286376,59000.4617643652,19861.6948100093
"47",567.814903846154,164.221153846154,98.4759615384615,309,86,51,443946.47890987,43750.1196478221,14836.134360519
"48",602,168.872596153846,100.557692307692,312,93,53.5,420990.284337349,33157.7644520389,12616.3822057461
"49",640.516826923077,184.168269230769,104.540865384615,338.5,94,54,449299.074414968,36365.2680027804,11812.8947115385
"50",627.230769230769,179.459134615385,108.105769230769,367.5,108.5,62,420911.151436515,35359.2609765987,12144.1911955514
"51",610.461538461538,185.923076923077,106.814903846154,342,92.5,55,450115.868396664,50328.6735866543,15689.3463797498
"52",610.778846153846,173.403846153846,98.0841346153846,316.5,84,53,516932.885912882,43639.128081557,13800.3085669601
"53",598.221153846154,169.774038461538,99.8629807692308,331,94,55,476252.225671918,38407.490987025,13083.9353973587
