"","avg_1","avg_2","avg_3","med_1","med_2","med_3","var_1","var_2","var_3"
"74",749.206730769231,178.365384615385,115.615384615385,719,173,116,68349.0655931418,4173.41797961075,1666.48303985171
"75",763.966346153846,183.526442307692,118.581730769231,731,173.5,119,67400.0518767377,3962.00893767377,1542.7499304912
"76",755.387019230769,181.115384615385,118.346153846154,736,174,120,70753.9197347081,4459.59629286376,1736.46302131603
"77",768.615384615385,183.697115384615,118.269230769231,751,181,121,57221.0613531047,3510.69358202039,1401.58517145505
"78",767.862980769231,183.673076923077,119.257211538462,746.5,176,121.5,77717.0197347081,4655.95069508804,1794.76018883225
"79",763.526442307692,182.677884615385,118.680288461538,750,177,121.5,72323.2041183967,4492.81647358665,1738.99874304912
"80",769.389423076923,184.375,119.163461538462,742,178,119,71767.2022011121,4373.81084337349,1708.69610750695
"81",763.524038461538,183.245192307692,118.408653846154,733,176,120,72258.1054448564,4316.42648285449,1575.01332252085
"82",755.795673076923,179.322115384615,117.622596153846,723.5,173,120,72863.78706557,4127.97310009268,1763.94637974977
"83",770.389423076923,185.408653846154,120.307692307692,746,180,121,66708.8793095459,4209.58199721965,1592.91232622799
"84",764.0625,181.846153846154,117.697115384615,741,177,120,62796.3527108434,3805.54253938832,1513.2140639481
"85",768.598557692308,184.411057692308,119.189903846154,749.5,178,121.5,67344.9541183967,4063.23062442076,1658.67469300278
"86",764.617788461538,183.680288461538,119.028846153846,770,182,121,72277.9957310009,4451.05657437442,1693.60398517145
"87",765.387019230769,183.396634615385,118.966346153846,732.5,176,118,77572.0884094069,4682.99169949027,1852.30247914736
"88",758.872596153846,181.552884615385,117.319711538462,740,175,118,67367.2102351715,4094.55141334569,1437.37464666358
"89",771.855769230769,184.108173076923,120.120192307692,752,179,122,70094.4755329008,4155.33525834106,1763.84575996293
"90",773.497596153846,184.877403846154,119.5625,752.5,180.5,119,66369.8698737257,3883.08613878591,1627.7406626506
"91",765.8125,183.165865384615,119.899038461538,735.5,175.5,120.5,73832.5093373494,4346.84230189991,1825.64761353105
"92",765.899038461538,182.978365384615,119.064903846154,757,180,120.5,65009.9946014829,4016.28627780352,1611.56445203892
"93",771.372596153846,185.519230769231,120.411057692308,747,181,122,60599.9981869787,3746.22131603336,1400.02580514365
"94",759.067307692308,181.913461538462,118.134615384615,738.5,177,118.5,64835.1520852641,3985.93948100093,1569.91436515292
"95",768.252403846154,181.980769230769,119.591346153846,749,176,122,72964.2084279425,4373.69119555144,1763.63500926784
"96",755.430288461538,182.706730769231,116.951923076923,724.5,178.5,117,71470.6264538925,4570.90655699722,1545.87720111214
"97",766.853365384615,182.742788461538,118.132211538462,741,174.5,120,70306.0435067192,4232.29271895273,1731.53187557924
"98",758.622596153846,180.367788461538,118.329326923077,724.5,175.5,119,73176.3897532437,4399.21621292864,1682.90092099166
"99",760.632211538462,182.454326923077,117.278846153846,727,173.5,119,74307.8957310009,4408.28224629286,1744.64012974977
"100",767.610576923077,185.574519230769,119.382211538462,742,180,121,68535.1925625579,4319.97515639481,1711.04633341057
"101",771.391826923077,185.473557692308,119.872596153846,751,180,120,56228.5328487025,3512.44749189064,1360.80059661724
"102",767.485576923077,184.076923076923,120.007211538462,730.5,177,120,65059.7732854495,3935.83503243744,1503.915610519
"103",772.439903846154,185.247596153846,120.038461538462,751,179,122,68423.6108375811,3993.48312673772,1616.75996292864
"104",764.846153846154,182.555288461538,118.834134615385,734,175.5,118,64855.1666357739,3929.84753822984,1561.5796512975
"105",772.127403846154,184.067307692308,120.432692307692,751.5,180,121,63268.3524038462,3870.77618164968,1589.74967562558
"106",754.610576923077,181.689903846154,116.675480769231,727.5,175,118,70302.2720806302,4264.79276529194,1609.50166241891
"107",758.632211538462,181.326923076923,117.007211538462,725,174.5,119,71501.4041647359,4442.56756255792,1703.30356232623
"108",765.591346153846,183.891826923077,118.725961538462,738,174.5,119,67631.3940454124,4062.29429448563,1622.50303521779
"109",756.581730769231,181.379807692308,117.463942307692,726,177,120,66824.4896895273,3956.61202502317,1646.97219068582
"110",757.026442307692,182.120192307692,119.326923076923,734.5,176,121,78441.9824316497,4778.09154309546,1844.3796107507
"111",768.951923076923,184.802884615385,119.064903846154,752,180,119,77072.1133456904,4614.17310009268,1819.50662071362
"112",763.673076923077,182.25,117.653846153846,746.5,177.5,120,63121.8253938832,3649.92289156627,1525.74012974977
"113",757.151442307692,181.805288461538,118.254807692308,747,178,120.5,63760.7553232159,3896.65356232623,1521.13491658943
"114",774.262019230769,186.055288461538,120.973557692308,750,180,122,62764.1263612141,3766.21139365153,1594.91737140871
"115",773.216346153846,186.367788461538,120.298076923077,750.5,182,121,63113.153081557,3930.0499478684,1572.43141797961
"116",769.478365384615,185.125,118.605769230769,758,181,122,75713.0019404541,4632.10963855422,1733.63697868397
"117",766.769230769231,183.569711538462,118.966346153846,749.5,180,123,66568.3996292864,3995.32524907322,1650.05187673772
"118",761.53125,182.798076923077,118.25,736,180.5,119,66654.3315512048,4147.0531047266,1647.99518072289
"119",766.699519230769,183.923076923077,120.161057692308,733.5,176.5,121,65558.0372045876,4076.2109360519,1698.82941960148
"120",769.478365384615,185.262019230769,119.117788461538,743,179.5,118,61047.8067597312,3816.51190338276,1481.12103220575
"121",773.442307692308,185.362980769231,119.983173076923,754,181.5,121,67847.6641334569,3923.21491543095,1680.39248725672
"122",762.201923076923,181.415865384615,118.721153846154,727,172,122,65887.4338276182,3935.42904888786,1621.37747914736
"123",765.817307692308,184.197115384615,118.675480769231,733.5,179.5,120,65140.5641334569,4076.36587117702,1488.30648169601
"124",764.572115384615,183.737980769231,118.774038461538,744,178,121,65642.8670759963,4200.04925278035,1552.68134847081
"125",763.701923076923,183.985576923077,118.887019230769,730.5,176,118,77308.3012974977,4810.09617701576,1800.3703371177
