"","avg_1","avg_2","avg_3","med_1","med_2","med_3","var_1","var_2","var_3"
"545",984.81686746988,222.214457831325,136.214457831325,397,84,55,2033923.53159886,94838.2703218672,35980.1109015773
"546",913.385542168675,227.992771084337,131.171084337349,384,92,54,1513463.89447646,99664.0361795006,32270.5769396426
"547",874.467469879518,210.012048192771,134.568674698795,376,81,48,1651289.71814213,93170.0505791281,38356.2072289157
"548",968.168674698795,218.260240963855,132.640963855422,394,88,55,1975755.81205983,116380.173656947,39479.3756125953
"549",963.163855421687,222.489156626506,129.86265060241,393,76,56,1822467.6349223,98548.8060415575,30940.3796403003
"550",937.575903614458,222.920481927711,134.450602409639,397,85,51,1515554.94531168,112165.36322682,34427.2336650952
"551",986.284337349398,224.351807228916,140.361445783133,410,90,56,1841658.46968163,101743.769652523,43629.9608288225
"552",967.843373493976,218.209638554217,126.455421686747,403,93,62,1765501.00680985,87723.1999068739,28169.1423316454
"553",930.175903614458,208.925301204819,137.506024096386,407,86,57,1776957.26608463,86407.0354694139,35487.5210988883
"554",993.6,240.602409638554,138.70843373494,419,93,57,1924702.36135266,120899.496129445,39123.3471509225
"555",998.057831325301,232.773493975904,139.696385542169,418,85,60,1784677.23336244,112851.678039695,36900.5501076771
"556",927.975903614458,225.385542168675,138.69156626506,417,92,51,1686783.90763052,104730.575635877,42930.3297596182
"557",1051.45301204819,220.665060240964,144.766265060241,455,87,63,2204132.70732786,96505.1218438973,44201.580501717
"558",939.6,219.243373493976,133.325301204819,428,91,62,1355176.79613527,98699.257051394,29162.1137302835
"559",900.361445783133,219.761445783133,131.510843373494,369,93,58,1313240.69512834,102351.829427856,30660.1248821372
"560",964.325301204819,220.040963855422,141.007228915663,392,83,57,1819819.34561434,89759.8074966533,39082.983039404
"561",1024.71325301205,220.90843373494,139.879518072289,408,82,60,1937386.18086258,86548.0060881206,36902.6424538735
"562",1053.8265060241,219.180722891566,136.763855421687,459,87,54,1754878.30316047,77429.1001105873,36789.1325068389
"563",962.559036144578,210.939759036145,141.838554216867,348,90,54,1824586.83648216,79124.9214830336,36013.2323264071
"564",975.01686746988,211.759036144578,128.706024096386,370,82,55,2210143.91517374,105874.907979745,28123.4061230429
"565",943.387951807229,228.925301204819,127.455421686747,370,94,49,1711904.40710087,116180.455759269,29340.9104475875
"566",978.168674698795,217.009638554217,135.274698795181,408,90,52,1679443.75408882,96306.5361387579,42275.378464583
"567",971.028915662651,224.713253012048,135.151807228916,423,92,51,1939735.20206042,104251.064920552,38315.1339037309
"568",920.677108433735,228.527710843373,133.812048192771,454,99,54,1221699.41239742,88503.9937954717,34118.0950235726
"569",881.771084337349,226.231325301205,134.320481927711,402,109,48,1297075.53442757,90285.5309004132,35470.1120190909
"570",969.489156626506,220.867469879518,143.303614457831,392,84,54,2011985.01377103,92011.8495430999,44445.4293347302
"571",949.922891566265,229.566265060241,135.46265060241,446,95,54,1652057.78631046,108847.492579012,33668.2057272569
"572",962.643373493976,229.173493975904,131.763855421687,419,104,59,1569182.56333159,90626.6413247192,27771.6155986264
"573",952.139759036145,215.69156626506,136.706024096386,459,83,53,1344769.19781154,89416.837005995,34784.4254467144
"574",987.848192771084,202.710843373494,125.096385542169,416,79,47,2137939.1242419,84160.0997613643,28352.7588033293
"575",911.050602409639,208.732530120482,133.869879518072,390,84,54,1501289.28004191,79682.3026831966,37404.9685350096
"576",1002.19759036145,228.69156626506,135.595180722892,373,98,57,2240134.49226471,105952.237972179,31150.3961119842
"577",972.734939759036,225.807228915663,127.139759036145,383,92,51,1832132.8571096,98920.9724113847,32753.468342937
"578",972.961445783132,218.987951807229,135.619277108434,385,92,56,2035260.3559979,106662.166521157,35459.6373086549
"579",1019.8578313253,223.710843373494,135.64578313253,437,100,60,2237757.02563297,92462.5055584658,33314.7751935277
"580",969.325301204819,235.055421686747,131.971084337349,384,88,54,2076010.09923753,121454.748128747,36346.723799546
"581",1034.44819277108,220.55421686747,129.530120481928,425,83,57,1905586.40733368,102420.30562831,30028.4912403236
"582",985.549397590361,223.713253012048,131.665060240964,449,95,53,1872992.00661196,90093.3402828706,30655.2136313369
"583",993.874698795181,215.826506024096,140.004819277108,419,90,53,1737659.95527618,75868.0181363134,38777.0241313078
"584",912.66265060241,204.886746987952,133.773493975904,378,83,57,1339199.43664513,92868.6272393924,32377.7988126419
"585",974.857831325301,222.73734939759,139.86265060241,392,89,57,1948838.61017403,99614.7738431989,42405.8627320878
"586",957.973493975904,208.525301204819,145.833734939759,390,98,63,1635308.22393341,69726.1968220709,38925.766975147
"587",915.756626506024,223.759036144578,137.575903614458,349,81,51,1754441.95270357,104934.052907281,42916.4477271404
"588",929.142168674699,218.202409638554,135.007228915663,373,95,54,1695121.99181654,99571.2439555323,36570.6980152494
"589",942.284337349398,219.065060240964,132.187951807229,437,79,59,1589815.69673477,97190.181747279,29013.3317385484
