"","avg_1","avg_2","avg_3","med_1","med_2","med_3","var_1","var_2","var_3"
"41",933.206730769231,218.855769230769,134.504807692308,409.5,87,52,1587276.61258109,91189.1695088045,36983.0168443003
"42",1030.73076923077,227.350961538462,134.502403846154,487,97.5,55.5,2293985.12252085,98101.9006255792,37501.1421628823
"43",956.925480769231,217.153846153846,139.096153846154,441,92,55,1616715.15346965,78387.1039851715,38285.4220574606
"44",999.824519230769,226.810096153846,127.747596153846,381.5,97.5,55,1850717.99563832,96222.6891508341,26151.4132472196
"45",939.194711538462,211.257211538462,136.420673076923,368.5,85,59,1637414.23428522,80754.6348876274,33969.4057402688
"46",1024,208.903846153846,130.538461538462,388,102,53,1850883.63855422,87786.0051899907,33151.3238183503
"47",956.235576923077,214.838942307692,135.709134615385,398.5,92,57,1765521.33714087,93563.03182924,32860.5730247915
"48",1056.82451923077,211.067307692308,133.814903846154,436.5,98,58,1826322.83419254,67962.5882298424,30470.3005966172
"49",960.283653846154,216.764423076923,130.40625,417,93,54.5,1544743.46151529,85818.9515987025,31780.5357680723
"50",1039.69230769231,219.283653846154,142.504807692308,404.5,93,56,2241753.21112141,89261.418141798,33799.7445551437
"51",999.377403846154,213.288461538462,133.975961538462,386,85,48.5,2094290.2307171,84072.5382761816,37888.0524328082
"52",1039.83173076923,213.134615384615,128.550480769231,423.5,88.5,56,2114005.17161724,83453.075810936,31397.2504575996
"53",979.387019230769,215.591346153846,131.338942307692,363.5,95,55,1634525.87636121,86507.6591056534,29379.0438774328
"54",990.346153846154,218.314903846154,129.180288461538,399.5,91,54,2041154.17386469,96991.5030062558,29600.5674177479
"55",1001.61778846154,210.016826923077,137.449519230769,410,96,58,2076123.67283943,73216.1611619555,38249.5444335032
"56",1031.67548076923,216.512019230769,139.971153846154,395.5,84.5,56,2420235.82937326,93693.4938310936,42265.1557924004
"57",962.471153846154,206.233173076923,123.942307692308,414,80,61.5,1920051.28591288,92567.3117643651,22905.3364226135
"58",932.603365384615,208.225961538462,129.694711538462,393.5,84.5,51,1767646.78447057,80418.9801436515,34435.0125984708
"59",1000.07211538462,207.622596153846,131.502403846154,416,86,53,1935775.8984013,88051.1897532437,29961.884331557
"60",929.358173076923,218.704326923077,125.307692307692,451,97,55,1452863.71959569,96719.8376679796,30657.0376274328
"61",923.362980769231,203.817307692308,138.081730769231,381.5,88.5,54.5,1804981.47515639,81426.7038924931,39556.1137859129
"62",929.889423076923,210.947115384615,139.283653846154,361.5,87.5,52,1507535.37569509,83037.3369555144,43266.174768304
"63",975.060096153846,217.478365384615,140.620192307692,371.5,85.5,54.5,1997166.1433677,102422.476639249,39313.6240732159
"64",969.199519230769,232.507211538462,135.040865384615,387.5,92.5,59.5,1658541.77455399,107735.633682808,35246.5597717794
"65",905.75,225.701923076923,126.079326923077,417.5,88,48.5,1434214.58313253,116305.19768304,30024.7961017145
"66",895.685096153846,222.370192307692,131.975961538462,423,90,56.5,1420050.61143999,90134.9035912882,29694.6982159407
"67",1000.34134615385,221.908653846154,132.884615384615,366,94,54,2117747.75790083,90663.7554911956,32645.8758109361
"68",899.427884615385,214.661057692308,138.867788461538,385,87,61,1534439.57069045,90295.6462870714,33256.0860924467
"69",947.28125,221.399038461538,138.983173076923,367,86,55.5,1933793.26287651,93879.112673772,37915.2406800278
"70",947.949519230769,217.451923076923,133.086538461538,387,100,57,1627386.72274676,97092.0892493049,30245.8430954588
"71",968.324519230769,221.762019230769,134.454326923077,364,88,52.5,2056876.55226483,97259.4010600093,36104.8075474977
"72",893.084134615385,211.346153846154,133.432692307692,389,86,51.5,1562665.36398865,79528.3329008341,43844.9496756256
